MLS_NUMBER,OPEN_STATUS,LISTING_Date,LISTING_PRICE,LOCATION,SOLD_PRICE,URL,DAYS_ON_MARKET,LATITUDE,LONGTIDUE,ACRES,PRICE_PER_ARC
 Schwenke Ranch,For Sale,2023-07-19,"$6,750,000","3 beds • 1 bath • 2,100 sq ftZortman, MT 59546 - Phillips County",6750000,https://www.land.com/property/2597-acres-in-Phillips-County-Montana/14657898/,47,47.79084,-108.64089,2,3375000
null,For Sale,2023-08-29,"$1,300,000","4 beds • 3 baths10926 State Highway 89 N, Evanston, WY 82930 - Uinta County",1300000,https://www.land.com/property/10926-State-Highway-89-N-Evanston-Wyoming-82930/16933572/,6,41.4071518,-111.0414115,32,40625
null,For Sale,2023-09-01,"$849,500","500 Ferndale Drive, Bigfork, MT 59911 - Flathead County",849500,https://www.land.com/property/500-Ferndale-Drive-Bigfork-Montana-59911/17797856/,3,48.06669890000001,-114.0057009,0.58,1464655
 98860293,For Sale,2023-08-16,"$398,000","TBD, Idaho City, ID 83631 - Boise County",398000,https://www.land.com/property/TBD-Idaho-City-Idaho-83631/15587222/,19,43.861765,-115.92469,49.27,8078
null,For Sale,2023-07-06,"$1,250,000","Livingston, MT 59047 - Park County",1250000,https://www.land.com/property/157-acres-in-Park-County-Montana/17255676/,60,45.792885,-110.69565,157,7962
null,For Sale,2023-08-23,"$735,000","39 Lodgepole Ln., Essex, MT 59916 - Flathead County",735000,https://www.land.com/property/39-Lodgepole-Ln.-Essex-Montana-59916/17147267/,12,48.35713699999999,-113.647113,0.48,1531250
 383268,For Sale,2023-06-22,"$1,250,000","2 beds • 1 bath • 1,504 sq ft17700 South Valley Road, Lima, MT 59739 - Beaverhead County",1250000,https://www.land.com/property/160-acres-in-Beaverhead-County-Montana/17328570/,74,44.589522,-111.9884984,160,7813
 Flying Arrow Ranch,For Sale,2023-04-09,"$2,500,000","Geraldine, MT 59446 - Chouteau County",2500000,https://www.land.com/property/630-acres-in-Chouteau-County-Montana/16805987/,148,47.710085,-109.855065,630,3968
null,For Sale,2023-09-01,"$990,000","2 beds • 1 bath • 1,092 sq ft1376 Yellow Jacket Rd, North Fork, ID 83466 - Lemhi County",990000,https://www.land.com/property/80.54-acres-in-Lemhi-County-Idaho/10514529/,3,44.9869,-114.4933,80.54,12292
null,For Sale,2023-03-15,"$1,950,000","US Forest Service Rd. 13, Lovell, WY 82431 - Big Horn County",1950000,https://www.land.com/property/15-acres-in-Big-Horn-County-Wyoming/8369979/,173,44.8193,-107.8583,15,130000
null,For Sale,2023-06-26,"$7,550,000","Bierney Creek Road, Lot#WP001, Lakeside, MT 59922 - Flathead County",7550000,https://www.land.com/property/440.37-acres-in-Flathead-County-Montana/15978645/,70,48.025,-114.2656,440.37,17145
null,For Sale,2023-08-23,"$4,200,000","3 beds • 1 bath26001 County Road 4, Craig, CO 81625 - Moffat County",4200000,https://www.land.com/property/26001-County-Road-4-Craig-Colorado-81625/18034500/,12,40.917207,-108.087555,1,4200000
null,For Sale,2023-08-03,"$6,900,000","3 beds • 2 baths14651 County Road 3, Craig, CO 81625 - Moffat County",6900000,https://www.land.com/property/14651-County-Road-3-Craig-Colorado-81625/17222889/,32,40.7780245468,-107.652232967,5,1380000
null,For Sale,2023-08-23,"$266,200","Libby, MT 59923 - Lincoln County",266200,https://www.land.com/property/44-acres-in-Lincoln-County-Montana/18039706/,12,48.274555,-115.104905,44,6050
null,Under Contract,2023-08-11,"$324,000","589 N Fork Murr Creek Road, Lot#WP001, Marion, MT 59925 - Flathead County",324000,https://www.land.com/property/589-N-Fork-Murr-Creek-Road-LotNumber-WP001-Marion-Montana-59925/17163657/,24,48.0166,-114.8081,2.89,112111
null,For Sale,2023-06-17,"$1,176,600","Bighorn Canyon Road, Fort Smith, MT 59035 - Carbon County",1176600,https://www.land.com/property/480-acres-in-Carbon-County-Montana/15401141/,79,45.15405,-108.26288,480,2451
null,For Sale,2022-02-05,"$775,000","Talmage, UT 84073 - Duchesne County",775000,https://www.land.com/property/70-acres-in-Duchesne-County-Utah/3624186/,576,40.361175,-110.49926,70,11071
null,For Sale,2023-08-03,"$1,660,000","TBD County Road 7, Craig, CO 81625 - Moffat County",1660000,https://www.land.com/property/1113-acres-in-Moffat-County-Colorado/17032890/,32,40.6526369592,-107.749383867,1,1660000
null,For Sale,2023-08-03,"$1,950,000","2094 Chipperfield Lane, Silt, CO 81652 - Garfield County",1950000,https://www.land.com/property/170-acres-in-Garfield-County-Colorado/16958522/,32,39.498327727,-107.628491777,170,11471
null,For Sale,2023-08-16,"$749,000","Fall Creek Road, Council, ID 83612 - Adams County",749000,https://www.land.com/property/255.52-acres-in-Adams-County-Idaho/16708660/,19,44.6438,-116.3544,255.52,2931
null,For Sale,2023-06-08,"$22,900,000","Sheridan, WY 82801 - Sheridan County",22900000,https://www.land.com/property/1346-acres-in-Sheridan-County-Wyoming/15639674/,88,44.79793,-106.95587,1,22900000
null,For Sale,2023-09-03,"$4,000,000","830 Old 6 and 50, Mack, CO 81525 - Mesa County",4000000,https://www.land.com/property/320-acres-in-Mesa-County-Colorado/16926587/,1,39.248741,-108.883066,320,12500
null,For Sale,2023-06-16,"$21,500,000","Deer Lodge MT, Deer Lodge, MT 59722 - Powell County",21500000,https://www.land.com/property/9173.93-acres-in-Powell-County-Montana/14794361/,80,46.3494,-112.6779,9,2388889
null,For Sale,2023-09-01,"$8,848,500","TBD CR 53, Craig, CO 81625 - Moffat County",8848500,https://www.land.com/property/5899-acres-in-Moffat-County-Colorado/17868863/,3,40.4177,-108.0373,5,1769700
 ID_Bonneville_00001,For Sale,2023-08-27,"$1,628,000","10486 E Ririe Hwy, Idaho Falls, ID 83401 - Bonneville County",1628000,https://www.land.com/property/74-acres-in-Bonneville-County-Idaho/15644242/,8,43.605055,-111.82683,74,22000
